name,address,coordinates,opening_time,closing_time
Depósito ,"Rua Melvin Jones, Bairro dos Ipês, S/N","-7.102936,-34.8592992",06:00:00,18:00:00
Mercadinho Ponto Frio,"Rua Celerina Paiva, 207","-7.1068019,-34.8648225",08:00:00,19:30:00
Mercadinho Lima,"Rua Coronel Barata, Treze de maio, 49","-7.1132627,-34.8676339",06:00:00,20:00:00
Mercadinho Real Preço,"Rua João Moreira Dauto, Cidade Padre Zé","-7.1059451,-34.8729508",07:00:00,19:00:00
Mercadinho Jardim Mangueira,"Rua Alfredo José Athaíde","-7.1001228,-34.8727936",06:00:00,19:00:00
Mercadinho Alto do Céu,"Rua Índio Felipe Camarão","-7.0988438,-34.8650511",06:00:00,19:30:00
Mercadinho Novais ,"Avenida Presidente Félix Antônio, 775","-7.1480175,-34.8893583",06:00:00,19:00:00
Mercadinho Clarice,"Rua Elias Cavalcante de Albuquerque, 1007","-7.1603916,-34.8812873",06:00:00,22:00:00
Padaria Pontes,"Avenida Cruz das Aramas, 1214","-7.1438754,-34.893117",06:00:00,20:00:00
Mercadinho Raminho,"Avenida Engenheiro Retumba, 130","-7.146931,-34.8936707",06:00:00,18:00:00
Mercainho Bom Jesus,"Avenida Quatro de Outubro, 602","-7.1455843,-34.8872346",07:00:00,19:00:00
Mercadinho Zé Galego,"Rua Comerciante José Antônio de Souza, 95","-7.1558039,-34.90601",08:00:00,21:00:00
Mercadinho S’Kina Aves,"Av. José Bonifácio, 1128-1164","-7.1532693,-34.9074081",08:00:00,18:00:00
Mercadinho Pedro Ulisses,"Rua Pedro Ulisses, 449","-7.1284229,-34.9240133",06:00:00,19:00:00
Mercadinho Arco-íris,"Rua João Gomes Vieira, 80","-7.1207993,-34.9547799",06:00:00,18:00:00
Mercadinho Ideal,"Rua São Sebastião","-7.1428199,-34.9677319",07:00:00,17:00:00
Mercadinho Santo Antônio,"Rua Jorn. Hélio Fernandes, 82","-7.144114,-34.971905",07:00:00,18:00:00
Mercadinho Preço Bom,"Rua Doná Inês, 04","-7.15465,-34.9731907",07:30:00,19:00:00
Mercadinho Junior,"Avenida Chacho, 135","-7.1606013,-34.9590872",06:00:00,21:30:00
Mercadinho Novo Milênio,"Rua José de Souza, 470","-7.1587919,-34.9823453",07:00:00,18:30:00
